factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f3158,47,20,5.6125
f3462,47,19,5.975
f3568,47,19,1.2375
f3771,47,19,1.5375
f38,47,17,1.6625
f4087,47,27,3.725
f4152,47,19,6.8125
f4853,47,25,4.1
f4982,47,20,3.1875
f5458,47,20,1.7625
f5683,47,15,4.175
f5894,47,25,3.225
f6088,47,19,3.475
f6367,47,23,2.3875
f6384,47,22,2.1625
f6473,47,20,1.825
f6573,47,26,3.325
f6696,47,19,2.4125
f677,47,22,3.9375
f6793,47,21,0.875
f6795,47,23,2.275
f6796,47,23,1.3
f686,47,20,1.7875
f6878,47,17,2.825
f6889,47,17,3.3125
f7395,47,20,2.325
f7593,47,27,2.4375
f7888,47,18,3.7625
f8497,47,22,4.1625
f952,47,23,4.075
f1171,46,19,3.225
f1268,46,14,4.5
f1366,46,18,3.7
f1368,46,17,3.15
f1758,46,22,2.2375
f176,46,22,3.375
f1868,46,17,1.85
f2134,46,19,4.725
f2258,46,18,4.0
f2575,46,28,0.7875
f2583,46,18,3.95
f2627,46,19,3.0
f2675,46,30,4.5
f2684,46,24,2.5
f2799,46,20,4.0
f2930,46,20,2.175
f3060,46,20,2.0625
f3373,46,17,5.725
f3463,46,16,2.7
f3573,46,20,4.425
f3583,46,15,2.275
f3666,46,18,1.8
f3894,46,30,4.0
f4456,46,20,0.6375
f4459,46,20,1.5
f4478,46,22,0.1625
f4652,46,17,5.875
f49100,46,16,1.5
f4986,46,16,4.4
f5588,46,20,2.5
f5891,46,18,3.45
f5893,46,19,4.175
f6778,46,23,1.85
f7275,46,30,5.1125
f7399,46,20,1.0
f782,46,14,3.7125
f811,46,21,3.725
f8391,46,14,2.4625
f8392,46,16,2.0125
f1058,45,21,3.1
f1273,45,21,3.7875
f1373,45,21,1.7125
f1471,45,21,1.7875
f1583,45,15,2.725
f1652,45,21,2.5875
f1782,45,17,4.6375
f1867,45,23,1.7375
f2141,45,16,1.7
f2479,45,29,2.2625
f27100,45,23,2.5
f2742,45,25,2.4
f2769,45,23,5.15
f2791,45,18,2.45
f2871,45,16,4.0125
f2949,45,13,3.4875
f3175,45,22,2.375
f3184,45,20,0.8375
f3872,45,26,2.7375
f3941,45,20,0.85
f3984,45,26,1.15
f414,45,24,5.475
f4567,45,23,3.4375
f458,45,22,3.45
f4583,45,15,3.225
f4788,45,19,2.975
f484,45,24,2.725
f4970,45,13,4.2625
f5558,45,22,5.2125
f5657,45,21,3.725
f5666,45,18,3.5875
f6267,45,23,1.9375
f6288,45,19,3.475
f651,45,17,3.0
f6985,45,27,5.0375
f737,45,19,3.075
