metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,MS_split_0.5,Attentive_NoSplit,50,19703.3,17088.3,2615.03,18.2204,1.82335e-23,1.77636e-15
final_cost,MS_split_MGM_200,MS_split_opt_200,50,17701.1,17663.8,37.24,6.26841,9.01555e-08,1.67956e-07
final_cost,MS_split_MGM_200,Attentive,50,17701.1,16628.5,1072.6,29.6909,5.51524e-33,1.77636e-15
final_cost,MS_split_MGM_200,MS,50,17701.1,19924.5,-2223.43,-22.5426,1.61021e-27,1.77636e-15
final_cost,MS_split_MGM_200,Attentive_NoSplit,50,17701.1,17088.3,612.808,5.54246,1.17646e-06,4.78853e-06
final_cost,MS_split_opt_200,Attentive,50,17663.8,16628.5,1035.36,29.0971,1.4089e-32,1.77636e-15
final_cost,MS_split_opt_200,MS,50,17663.8,19924.5,-2260.67,-22.9754,6.86322e-28,1.77636e-15
final_cost,MS_split_opt_200,Attentive_NoSplit,50,17663.8,17088.3,575.568,5.21888,3.63671e-06,1.16456e-05
final_cost,Attentive,MS,50,16628.5,19924.5,-3296.03,-34.3816,5.7645e-36,1.77636e-15
final_cost,Attentive,Attentive_NoSplit,50,16628.5,17088.3,-459.792,-4.51198,4.02878e-05,0.00417845
final_cost,MS,Attentive_NoSplit,50,19924.5,17088.3,2836.24,20.5179,1.05025e-25,1.77636e-15
anytime_cost,DMS,DMS_split_at_1000,50,17727,17733.3,-6.32,-0.645064,0.521895,0.550924
anytime_cost,DMS,DMS_split_at_500,50,17727,17781.9,-54.92,-3.97012,0.000234722,0.000121045
anytime_cost,DMS,DMS_split_at_300,50,17727,17796.1,-69.12,-3.28126,0.0019084,0.0027731
anytime_cost,DMS,DMS_split_at_100,50,17727,17867.5,-140.46,-4.92347,1.0053e-05,2.65423e-05
anytime_cost,DMS,DMS_split_at_50,50,17727,17864.5,-137.52,-4.61769,2.83042e-05,0.000134295
anytime_cost,DMS,DMS_split_0.5,50,17727,17894.4,-167.38,-4.93726,9.59039e-06,5.04521e-05
anytime_cost,DMS,DMS_split_0.4_0.6,50,17727,17895.7,-168.68,-4.56871,3.33453e-05,7.50077e-05
anytime_cost,DMS,MS_split_0.5,50,17727,19310.4,-1583.4,-18.3059,1.49202e-23,1.77636e-15
anytime_cost,DMS,MS_split_MGM_200,50,17727,17701.1,25.96,0.861228,0.393308,0.496389
anytime_cost,DMS,MS_split_opt_200,50,17727,17663.8,63.2,2.17584,0.0344185,0.0607014
anytime_cost,DMS,Attentive,50,17727,16621.3,1105.74,28.3345,4.81936e-32,1.77636e-15
anytime_cost,DMS,MS,50,17727,18495.1,-768.068,-14.171,5.86151e-19,5.32907e-15
anytime_cost,DMS,Attentive_NoSplit,50,17727,16584.4,1142.63,30.2876,2.18563e-33,1.77636e-15
anytime_cost,DMS_split_at_1000,DMS_split_at_500,50,17733.3,17781.9,-48.6,-3.06127,0.00357206,0.00427299
anytime_cost,DMS_split_at_1000,DMS_split_at_300,50,17733.3,17796.1,-62.8,-3.09756,0.00322625,0.00245179
anytime_cost,DMS_split_at_1000,DMS_split_at_100,50,17733.3,17867.5,-134.14,-4.63886,2.63638e-05,5.13147e-05
anytime_cost,DMS_split_at_1000,DMS_split_at_50,50,17733.3,17864.5,-131.2,-4.31561,7.70475e-05,0.000146697
anytime_cost,DMS_split_at_1000,DMS_split_0.5,50,17733.3,17894.4,-161.06,-4.57052,3.31446e-05,0.000102575
anytime_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,17733.3,17895.7,-162.36,-4.21304,0.000107649,0.000298004
anytime_cost,DMS_split_at_1000,MS_split_0.5,50,17733.3,19310.4,-1577.08,-18.548,8.48748e-24,1.77636e-15
anytime_cost,DMS_split_at_1000,MS_split_MGM_200,50,17733.3,17701.1,32.28,1.02826,0.308876,0.4258
anytime_cost,DMS_split_at_1000,MS_split_opt_200,50,17733.3,17663.8,69.52,2.27147,0.0275462,0.0483095
anytime_cost,DMS_split_at_1000,Attentive,50,17733.3,16621.3,1112.06,28.6434,2.91802e-32,1.77636e-15
anytime_cost,DMS_split_at_1000,MS,50,17733.3,18495.1,-761.748,-14.2219,5.08545e-19,5.32907e-15
anytime_cost,DMS_split_at_1000,Attentive_NoSplit,50,17733.3,16584.4,1148.95,29.9621,3.61408e-33,1.77636e-15
