algorithm,seed,final_cost,anytime_cost
MS_split_0.5,41,20123.000026,20075.000029
MS_split_MGM_200,41,17944.000026,17944.000026
MS_split_opt_200,41,17920.000026,17920.000026
DMS_split_0.5,42,18337.000027,18312.000026
DMS_split_0.4_0.6,42,18083.000026,18083.000026
DMS_split_at_100,42,17837.000025,17814.000026
DMS_split_at_50,42,18084.000027,18084.000027
DMS_split_at_300,42,18117.000024,18067.000025
DMS_split_at_1000,42,18117.000024,18067.000025
DMS_split_at_500,42,18117.000024,18067.000025
MS_split_0.5,42,19160.000026,19160.000026
MS_split_MGM_200,42,18018.000025,18018.000025
MS_split_opt_200,42,18018.000025,18018.000025
DMS,43,17296.000026,16876.000022
DMS_split_0.4_0.6,43,17238.000024,17234.000024
DMS_split_0.5,43,17352.000023,17352.000023
DMS_split_at_50,43,16954.000026,16954.000026
DMS_split_at_100,43,16883.000028,16883.000028
DMS_split_at_300,43,17005.000026,16953.000026
DMS_split_at_1000,43,16950.000026,16950.000026
DMS_split_at_500,43,16911.000028,16911.000028
DMS,44,18846.000023,17948.000023
DMS_split_0.5,44,18287.000023,18269.000022
DMS_split_0.4_0.6,44,17831.000024,17770.000024
DMS_split_at_50,44,17943.000023,17842.000023
DMS_split_at_500,44,17952.000025,17952.000025
DMS_split_at_300,44,17858.000025,17858.000025
DMS_split_at_100,44,18323.000025,18130.000025
DMS_split_at_1000,44,18267.000025,18058.000026
DMS,45,19024.000029,17839.000029
MS_split_0.5,44,20499.000027,19775.000022
MS_split_MGM_200,44,17850.000026,17850.000026
MS_split_opt_200,44,17838.000026,17838.000026
DMS_split_0.5,45,17839.000029,17839.000029
DMS_split_0.4_0.6,45,18196.000031,17842.000031
DMS_split_at_50,45,17663.000029,17663.000029
DMS_split_at_100,45,18290.000027,17868.000030
DMS_split_at_300,45,18181.000030,17868.000030
DMS_split_at_500,45,18335.000028,17868.000030
DMS,46,18084.000024,18061.000024
DMS_split_at_1000,45,18376.000024,17839.000029
MS_split_0.5,45,19597.000028,19493.000028
MS_split_MGM_200,45,17989.000023,17989.000023
MS_split_opt_200,45,17828.000024,17828.000024
DMS_split_0.5,46,18123.000023,18113.000024
DMS_split_0.4_0.6,46,18347.000024,18220.000024
DMS_split_at_50,46,18061.000024,18061.000024
DMS_split_at_100,46,18061.000024,18061.000024
DMS_split_at_300,46,18061.000024,18061.000024
DMS_split_at_500,46,18061.000024,18061.000024
DMS,47,17857.000027,17442.000027
DMS_split_at_1000,46,18061.000024,18061.000024
DMS_split_0.5,47,17710.000028,17698.000028
DMS_split_0.4_0.6,47,18030.000027,18030.000027
DMS_split_at_50,47,17582.000025,17582.000025
DMS_split_at_500,47,17604.000022,17604.000022
DMS_split_at_100,47,17523.000027,17523.000027
DMS_split_at_300,47,17892.000029,17625.000025
DMS_split_at_1000,47,17436.000024,17419.000024
MS_split_0.5,43,19797.000026,19532.000025
MS_split_MGM_200,43,17231.000024,17231.000024
MS_split_opt_200,43,17071.000024,17071.000024
DMS,48,18587.000026,17579.000021
MS_split_0.5,46,19990.000026,19369.000025
MS_split_MGM_200,46,17919.000024,17919.000024
MS_split_opt_200,46,17869.000025,17869.000025
MS_split_0.5,47,19703.000027,18897.000027
MS_split_MGM_200,47,17355.000025,17355.000025
MS_split_opt_200,47,17355.000025,17355.000025
DMS_split_0.5,48,17627.000024,17568.000024
DMS_split_at_50,48,17457.000025,17457.000025
DMS_split_0.4_0.6,48,17566.000026,17496.000027
DMS_split_at_300,48,17466.000023,17466.000023
DMS_split_at_100,48,17416.000024,17416.000024
DMS_split_at_1000,48,17951.000028,17579.000021
DMS_split_at_500,48,17884.000025,17600.000022
DMS,49,17733.000025,17662.000026
DMS_split_0.5,49,17575.000028,17479.000028
DMS_split_0.4_0.6,49,17474.000027,17418.000029
DMS_split_at_300,49,17765.000024,17662.000026
DMS_split_at_500,49,17721.000026,17662.000026
DMS_split_at_1000,49,17733.000025,17662.000026
DMS_split_at_50,49,17394.000024,17361.000023
DMS_split_at_100,49,17767.000025,17681.000027
MS_split_0.5,48,19785.000024,19483.000023
MS_split_MGM_200,48,17503.000025,17503.000025
MS_split_opt_200,48,17449.000024,17449.000024
MS_split_0.5,49,19454.000027,19353.000026
MS_split_MGM_200,49,17422.000026,17422.000026
MS_split_opt_200,49,17399.000026,17399.000026
Attentive,0,16348.000023,16348.000023
Attentive,3,16426.000024,16426.000024
Attentive,1,16332.000024,16332.000024
Attentive,2,16965.000022,16965.000022
Attentive,4,16416.000024,16416.000024
Attentive,5,16142.000029,16142.000029
Attentive,6,16911.000026,16911.000026
Attentive,7,16965.000027,16965.000027
Attentive,9,16607.000025,16607.000025
Attentive,10,16453.000026,16453.000026
Attentive,8,16434.000027,16272.000027
Attentive,11,16691.000027,16686.000024
Attentive,12,16167.000030,16167.000030
Attentive,14,16477.000023,16477.000023
Attentive,13,16807.000023,16807.000023
Attentive,15,16840.000023,16840.000023
Attentive,18,16269.000026,16269.000026
Attentive,17,16755.000022,16755.000022
Attentive,16,16799.000024,16799.000024
Attentive,19,16982.000027,16982.000027
Attentive,21,16168.000026,16168.000026
Attentive,22,16339.000024,16339.000024
Attentive,20,16308.000025,16308.000025
Attentive,23,16698.000028,16694.000029
Attentive,25,16575.000025,16471.000027
Attentive,26,17107.000028,17107.000028
Attentive,24,16931.000026,16847.000025
Attentive,27,17236.000024,17236.000024
Attentive,28,16848.000026,16848.000026
Attentive,29,17115.000028,17115.000028
Attentive,30,16824.000028,16824.000028
Attentive,31,16579.000026,16579.000026
Attentive,32,16877.000023,16877.000023
Attentive,33,16404.000029,16404.000029
Attentive,34,16577.000022,16577.000022
Attentive,35,16720.000023,16720.000023
Attentive,37,16331.000026,16331.000026
Attentive,36,16502.000027,16502.000027
Attentive,38,16773.000024,16773.000024
Attentive,39,16802.000027,16802.000027
