metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS_split_at_100,DMS_split_at_50,50,7.82001,7.98001,-0.16,-0.984427,0.329742,0.238323
final_cost,DMS_split_at_100,DMS_split_0.4_0.6,50,7.82001,8.94001,-1.12,-3.74371,0.00047691,1.16788e-05
final_cost,DMS_split_at_100,MS_split_0.5,50,7.82001,81.8,-73.98,-35.0178,2.42977e-36,7.50582e-10
final_cost,DMS_split_at_100,MS_split_MGM_200,50,7.82001,20.98,-13.16,-21.9493,5.30141e-27,7.52963e-10
final_cost,DMS_split_at_100,MS_split_opt_200,50,7.82001,20.14,-12.32,-21.7945,7.26588e-27,7.51942e-10
final_cost,DMS_split_at_100,Attentive,50,7.82001,27.22,-19.4,-5.42056,1.80258e-06,2.16299e-08
final_cost,DMS_split_at_100,MS,50,7.82001,87.7689,-79.9489,-73.7351,7.15798e-52,1.77636e-15
final_cost,DMS_split_0.5,DMS_split_at_50,50,8.10001,7.98001,0.12,1.13721,0.26098,0.293546
final_cost,DMS_split_0.5,DMS_split_0.4_0.6,50,8.10001,8.94001,-0.840001,-3.58218,0.000781789,1.54739e-05
final_cost,DMS_split_0.5,MS_split_0.5,50,8.10001,81.8,-73.7,-34.3773,5.79855e-36,7.51942e-10
final_cost,DMS_split_0.5,MS_split_MGM_200,50,8.10001,20.98,-12.88,-20.0675,2.78233e-25,7.54498e-10
final_cost,DMS_split_0.5,MS_split_opt_200,50,8.10001,20.14,-12.04,-19.9102,3.92607e-25,7.53986e-10
final_cost,DMS_split_0.5,Attentive,50,8.10001,27.22,-19.12,-5.34324,2.3607e-06,1.10852e-07
final_cost,DMS_split_0.5,MS,50,8.10001,87.7689,-79.6689,-72.4067,1.73075e-51,1.77636e-15
final_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,7.98001,8.94001,-0.960001,-4.23455,0.000100382,9.64015e-07
final_cost,DMS_split_at_50,MS_split_0.5,50,7.98001,81.8,-73.82,-34.7985,3.26719e-36,7.48208e-10
final_cost,DMS_split_at_50,MS_split_MGM_200,50,7.98001,20.98,-13,-20.833,5.3663e-26,7.53474e-10
final_cost,DMS_split_at_50,MS_split_opt_200,50,7.98001,20.14,-12.16,-20.7091,6.982e-26,7.52623e-10
final_cost,DMS_split_at_50,Attentive,50,7.98001,27.22,-19.24,-5.36909,2.1573e-06,1.46973e-08
final_cost,DMS_split_at_50,MS,50,7.98001,87.7689,-79.7889,-72.2293,1.94959e-51,1.77636e-15
final_cost,DMS_split_0.4_0.6,MS_split_0.5,50,8.94001,81.8,-72.86,-34.1198,8.26097e-36,7.54498e-10
final_cost,DMS_split_0.4_0.6,MS_split_MGM_200,50,8.94001,20.98,-12.04,-17.9692,3.30069e-23,9.02346e-10
final_cost,DMS_split_0.4_0.6,MS_split_opt_200,50,8.94001,20.14,-11.2,-17.6907,6.41911e-23,9.02548e-10
final_cost,DMS_split_0.4_0.6,Attentive,50,8.94001,27.22,-18.28,-5.03763,6.79842e-06,2.83677e-06
final_cost,DMS_split_0.4_0.6,MS,50,8.94001,87.7689,-78.8289,-70.3222,7.1457e-51,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_200,50,81.8,20.98,60.82,37.2558,1.30026e-37,7.52963e-10
final_cost,MS_split_0.5,MS_split_opt_200,50,81.8,20.14,61.66,38.0102,5.02791e-38,7.50412e-10
final_cost,MS_split_0.5,Attentive,50,81.8,27.22,54.58,11.7967,6.32381e-16,6.75539e-09
final_cost,MS_split_0.5,MS,50,81.8,87.7689,-5.96887,-3.15715,0.00272575,1.10337e-05
final_cost,MS_split_MGM_200,MS_split_opt_200,50,20.98,20.14,0.84,5.5207,1.26972e-06,2.58499e-05
final_cost,MS_split_MGM_200,Attentive,50,20.98,27.22,-6.24,-1.65428,0.104463,0.901018
final_cost,MS_split_MGM_200,MS,50,20.98,87.7689,-66.7889,-63.5305,9.82668e-49,1.77636e-15
