period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges
2,1000,0.8518518518518519,32404.249362731807,32787.23754671183,30317.24345472182,0.56,0.2139917695473251,116.76923076923076,0.419753086419753,127.31372549019608,0.3662551440329218,149.95505617977528,1.0,1.0,28,28,30273.212328455043,127.3932584269663,1000,,-1,random,0.2,0,MS_split,243
1,30,0.9197530864197532,30365.240496262308,30365.240496262308,30365.240496262308,0.0,1.0,124.95884773662551,0.0,,0.0,,1.0,1.0,0,0,30365.240496262308,,1000,,-1,random,0.2,0,DMS_split,243
2,1000,0.8542600896860987,31514.24368182365,31918.24866810615,27788.246174964897,0.8,0.0538116591928251,118.0,0.273542600896861,125.01639344262296,0.672645739910314,149.81333333333333,1.0,1.0,40,40,28057.24687493816,127.59333333333332,1000,,-1,random,0.2,1,MS_split,223
1,53,0.8475336322869955,27620.21399347689,27620.21399347689,27620.21399347689,0.0,1.0,123.85650224215247,0.0,,0.0,,1.0,1.0,0,0,27620.21399347689,,1000,,-1,random,0.2,1,DMS_split,223
2,1000,0.8258196721311475,31759.262893116527,31751.23056723284,30540.246730174684,0.4,0.4180327868852459,120.70588235294116,0.4057377049180328,129.03030303030303,0.1762295081967213,155.1860465116279,1.0,1.0,20,20,30473.251461413613,121.55813953488372,1000,,-1,random,0.2,2,MS_split,244
1,70,0.8135245901639344,30407.249984572845,30407.249984572845,30407.249984572845,0.0,1.0,124.6188524590164,0.0,,0.0,,1.0,1.0,0,0,30407.249984572845,,1000,,-1,random,0.2,2,DMS_split,244
2,1000,0.8650793650793651,36327.232507610504,36008.23766733859,31696.735087474543,0.88,0.0158730158730158,115.25,0.2023809523809523,126.19607843137256,0.7817460317460317,149.39086294416245,1.0,1.0,44,44,31997.216311835833,128.7969543147208,1000,,-1,random,0.2,3,MS_split,252
1,63,0.8551587301587301,32032.272182397628,32032.272182397628,32032.272182397628,0.0,1.0,127.11111111111111,0.0,,0.0,,1.0,1.0,0,0,32032.272182397628,,1000,,-1,random,0.2,3,DMS_split,252
2,1000,0.8849372384937239,33394.26510282226,34291.266098957334,30101.2656008898,0.76,0.0920502092050209,120.5909090909091,0.3179916317991632,126.44736842105264,0.5899581589958159,149.86524822695034,1.0,1.0,38,38,30222.24592839677,127.92198581560284,1000,,-1,random,0.2,4,MS_split,239
1,79,0.8723849372384938,29973.238233243646,29973.238233243646,29973.238233243646,0.0,1.0,125.4100418410042,0.0,,0.0,,1.0,1.0,0,0,29973.238233243646,,1000,,-1,random,0.2,4,DMS_split,239
2,1000,0.958490566037736,36516.244212175705,36520.249017739014,33655.24661495736,0.66,0.1283018867924528,119.73529411764706,0.4415094339622641,127.008547008547,0.430188679245283,154.25438596491227,1.0,1.0,33,33,33721.27751693467,129.05263157894737,1000,,-1,random,0.2,5,MS_split,265
1,112,0.9018867924528302,33480.2461298241,33480.2461298241,33480.2461298241,0.0,1.0,126.33962264150944,0.0,,0.0,,1.0,1.0,0,0,33480.2461298241,,1000,,-1,random,0.2,5,DMS_split,265
2,1000,0.913716814159292,31448.255146748303,31594.23727378989,28186.2462102691,0.7,0.1150442477876106,121.3846153846154,0.3761061946902654,128.3294117647059,0.5088495575221239,151.16521739130434,1.0,1.0,35,35,28400.247976576757,127.81739130434782,1000,,-1,random,0.2,6,MS_split,226
1,118,0.8584070796460177,28169.23678969363,28169.23678969363,28169.23678969363,0.0,1.0,124.641592920354,0.0,,0.0,,1.0,1.0,0,0,28169.23678969363,,1000,,-1,random,0.2,6,DMS_split,226
2,1000,0.9247104247104247,36407.25344266369,36394.2881297872,32666.270786225446,0.74,0.0926640926640926,123.16666666666669,0.3243243243243243,128.51190476190476,0.583011583011583,150.03973509933775,1.0,1.0,37,37,32852.29102560422,129.4437086092715,1000,,-1,random,0.2,7,MS_split,259
1,45,0.8687258687258688,32573.242933072914,32573.242933072914,32573.242933072914,0.0,1.0,125.76447876447877,0.0,,0.0,,1.0,1.0,0,0,32573.242933072914,,1000,,-1,random,0.2,7,DMS_split,259
2,1000,0.8829787234042553,34341.279145498105,34058.23664916107,29425.257897329582,0.92,0.0042553191489361,103.0,0.1446808510638297,127.79411764705884,0.851063829787234,149.465,1.0,1.0,46,46,29584.264152355143,125.71,1000,,-1,random,0.2,8,MS_split,235
1,50,0.8404255319148937,29315.26542259965,29315.26542259965,29315.26542259965,0.0,1.0,124.74468085106383,0.0,,0.0,,1.0,1.0,0,0,29315.26542259965,,1000,,-1,random,0.2,8,DMS_split,235
2,1000,0.8441558441558441,33965.22177193903,33366.2152884997,28802.718530219365,0.84,0.0303030303030303,118.85714285714286,0.2727272727272727,125.7936507936508,0.696969696969697,156.57142857142858,1.0,1.0,42,42,29475.217755183945,129.75776397515529,1000,,-1,random,0.2,9,MS_split,231
