bench,seed,p,freeze,t95,final_commit,final,best,period
random_dense,18,0.5,87,120,0.9549795361527967,99635.24532999065,99635.24532999065,1
random_dense,18,0.55,52,2000,0.937244201909959,99594.23964683124,99594.23964683124,1
random_dense,18,0.6,270,2000,0.9461118690313779,98853.2419304946,98853.2419304946,1
random_dense,18,0.7,61,2000,0.9167803547066848,99539.25007015259,99539.25007015259,1
random_dense,18,0.8,53,2000,0.8973396998635743,99539.25007015259,99539.25007015259,1
random_dense,18,0.9,102,2000,0.9307639836289222,98823.24224606398,98823.24224606398,1
random_dense,18,0.95,301,2000,0.8536834924965894,99047.24986646841,99047.24986646841,1
random_dense,18,0.99,42,61,0.9549795361527967,99340.25875857897,99340.25875857897,1
random_dense,18,1.0,283,2000,0.8990450204638472,98771.2607626822,98771.2607626822,1
random_dense,19,0.5,71,76,0.9649234693877551,106700.26811951118,106700.26811951118,1
random_dense,19,0.55,53,81,0.9537627551020408,106806.25947700138,106806.25947700138,1
random_dense,19,0.6,37,48,0.9630102040816326,106868.2624364056,106868.2624364056,1
random_dense,19,0.7,67,2000,0.9473852040816326,106677.26454120991,106677.26454120991,1
random_dense,19,0.8,43,2000,0.8925382653061225,106899.26706055593,106899.26706055593,1
random_dense,19,0.9,49,64,0.9461096938775511,106351.26441531353,106351.26441531353,1
random_dense,19,0.95,319,2000,0.9320790816326531,106230.23708423079,106230.23708423079,1
random_dense,19,0.99,189,2000,0.9081632653061225,106245.26266121675,106245.26266121675,1
random_dense,19,1.0,1454,2000,0.8947704081632653,106111.25145327422,105861.24620202821,1
random_sparse,0,0.5,66,2000,0.8724137931034482,17235.24461467859,17235.24461467859,1
random_sparse,0,0.55,69,2000,0.8637931034482759,17235.24461467859,17235.24461467859,1
random_sparse,0,0.6,78,2000,0.853448275862069,17235.24461467859,17235.24461467859,1
random_sparse,0,0.7,78,2000,0.7517241379310344,17272.23697990964,17272.23697990964,1
random_sparse,0,0.8,125,2000,0.743103448275862,17236.248420249853,17236.248420249853,1
random_sparse,0,0.9,181,2000,0.7517241379310344,17107.252351542433,17107.252351542433,1
random_sparse,0,0.95,83,2000,0.6844827586206896,17096.259277024372,17096.259277024372,1
random_sparse,0,0.99,1689,2000,0.6810344827586207,17089.230157574068,17089.230157574068,1
random_sparse,0,1.0,277,2000,0.33448275862068966,17089.230157574068,17089.230157574068,1
random_sparse,1,0.5,263,2000,0.7754237288135594,13787.244717290874,13787.244717290874,1
random_sparse,1,0.55,263,2000,0.7796610169491526,13787.244717290874,13787.244717290874,1
random_sparse,1,0.6,244,2000,0.7754237288135594,13787.244717290874,13787.244717290874,1
random_sparse,1,0.7,216,2000,0.7563559322033898,13787.244717290874,13787.244717290874,1
random_sparse,1,0.8,65,2000,0.7372881355932204,13795.250103887049,13795.250103887049,1
random_sparse,1,0.9,85,2000,0.6461864406779662,13723.235226720333,13723.235226720333,1
random_sparse,1,0.95,41,2000,0.6101694915254238,13714.25064582796,13714.25064582796,1
random_sparse,1,0.99,1560,2000,0.6483050847457628,13744.238467430598,13742.240597345277,1
random_sparse,1,1.0,2000,2000,0.046610169491525424,14355.243848624197,13669.272195947398,0
random_sparse,2,0.5,93,2000,0.7964601769911505,13064.238931180007,13064.238931180007,1
random_sparse,2,0.55,93,2000,0.7876106194690266,13064.238931180007,13064.238931180007,1
random_sparse,2,0.6,91,2000,0.7898230088495575,13064.238931180007,13064.238931180007,1
random_sparse,2,0.7,89,2000,0.7743362831858407,13064.238931180007,13064.238931180007,1
random_sparse,2,0.8,86,2000,0.754424778761062,13064.238931180007,13064.238931180007,1
random_sparse,2,0.9,72,2000,0.7146017699115044,13050.23829344256,13050.23829344256,1
random_sparse,2,0.95,61,2000,0.661504424778761,13050.23829344256,13050.23829344256,1
random_sparse,2,0.99,56,2000,0.5995575221238938,13050.23829344256,13050.23829344256,1
random_sparse,2,1.0,66,2000,0.14601769911504425,13050.23829344256,13050.23829344256,1
random_sparse,3,0.5,88,2000,0.7379032258064516,14614.231008256591,14614.231008256591,1
random_sparse,3,0.55,88,2000,0.7560483870967742,14614.231008256591,14614.231008256591,1
